,account_id,win_rate,match_id,rank,average_kda,average_kills,average_deaths,average_assists,average_cs,average_denies,average_networth,average_gold_per_minute,average_exp_per_minute,average_tower_damage,average_hero_damage,average_hero_healing,average_camps_stacked,average_individual_match_performance,average_vision_participation,recent_win_rate,recent_times_left,curr_team_wl_rate
53,1121880585.0,0.5137362637362637,7792934504,72,7.530518611505454,12.56,17.44,31.14,278.56,10.64,2462.12,860.92,1198.4,5073.56,41207.98,6967.92,3.06,-4.18,5.38,0.46,0.2,0.4
54,254555213.0,0.5008240852653555,7792934504,73,7.5297999222999215,12.54,11.62,15.7,549.96,14.7,3804.6,1122.4,1414.64,13757.54,45704.54,2236.22,1.92,-24.14,4.44,0.38,0.02,0.34782608695652173
55,170778652.0,0.49533728957248396,7792934504,71,7.213273233302646,15.16,18.26,28.06,326.54,17.54,3127.32,929.78,1232.66,4821.96,49700.96,2234.52,1.6,-13.98,15.14,0.44,0.06,0.46153846153846156
56,295836130.0,0.5178463399879008,7792934504,71,8.604128843378843,12.48,14.5,33.48,336.88,4.86,4645.18,928.48,1262.84,4221.26,45845.12,924.8,4.78,12.8,9.28,0.54,0.06,0.4090909090909091
57,338360355.0,0.497153173170393,7792934504,71,7.353344350094349,8.68,17.1,34.02,187.46,9.84,3751.16,729.54,1064.04,2685.78,40928.48,2674.98,3.62,-9.78,11.42,0.4,0.0,0.2916666666666667
58,252459648.0,0.5448239060832444,7792933502,64,8.721665195915199,13.04,13.74,35.7,342.64,12.9,4761.02,910.0,1206.06,6061.54,46696.36,4008.76,4.22,2.56,17.42,0.7,0.06,0.64
59,68511849.0,0.498411214953271,7792933502,71,11.36675752025752,20.34,11.44,25.54,486.74,13.34,5865.38,1147.78,1494.08,10746.76,65288.9,2856.28,1.3,0.8600000000000001,2.72,0.5,0.08,0.5
60,318696263.0,0.5051276895234265,7792933502,71,8.186692491718809,12.14,16.62,36.9,263.56,15.8,3803.72,841.86,1184.88,3240.4,46204.82,4831.74,1.08,-1.6799999999999995,24.9,0.58,0.02,0.6086956521739131
61,86902670.0,0.5036041031327974,7792933502,65,8.296210622710623,9.1,14.1,33.54,209.1,12.5,4052.14,770.76,1083.72,4160.02,34036.22,5420.84,4.16,3.1,8.24,0.5,0.02,0.4583333333333333
62,488201265.0,0.5272579332790887,7792933502,63,8.27127715748304,17.68,17.74,26.64,425.26,20.12,4387.62,1048.64,1427.9,14196.06,55439.94,1910.8,1.14,-13.8,9.06,0.66,0.0,0.5833333333333334
63,146725108.0,0.5162211263950168,7792933502,64,9.7659985014985,17.9,13.34,26.22,527.84,18.68,4856.84,1144.72,1419.9,12617.78,59062.34,1037.8,1.18,-4.4,0.72,0.58,0.0,0.5
64,354088284.0,0.508905299739357,7792933502,65,6.325285880785881,14.22,16.52,31.0,218.46,9.92,4193.76,796.08,1132.16,3943.46,43162.06,2156.3,1.08,-8.78,5.3,0.52,0.0,0.47619047619047616
65,56585417.0,0.5138496325607688,7792933502,71,10.731637849079025,17.26,15.86,36.68,325.76,13.08,6213.5,956.5,1325.52,4672.48,58451.56,4646.28,1.56,14.84,6.82,0.62,0.02,0.5185185185185185
66,105679354.0,0.5157962604771116,7792931613,80,13.191538445214915,17.28,11.66,23.94,473.92,16.8,4414.24,1103.64,1401.56,11501.72,48569.06,2021.36,1.18,-0.86,3.74,0.46,0.0,0.3181818181818182
67,244606968.0,0.518710793856803,7792931613,80,9.213744817274227,14.38,17.76,33.0,325.9,17.94,3631.18,958.56,1206.62,2331.26,54413.04,1966.76,1.76,1.96,17.74,0.52,0.12,0.5555555555555556
68,113520494.0,0.5540971310706919,7792931613,80,8.21401257076257,10.88,14.92,34.22,284.34,10.72,4554.32,836.16,1130.98,2488.3,40234.64,3219.88,2.3200000000000003,6.12,24.22,0.6,0.0,0.6666666666666666
69,323291963.0,0.5017782426778242,7792931613,80,7.545020424020424,13.8,16.14,30.72,330.02,11.28,3152.12,952.6,1329.92,3572.34,46128.02,1318.16,3.66,11.26,8.1,0.5,0.02,0.48148148148148145
70,96781098.0,0.5236127508854782,7792931613,80,10.982972582972584,15.3,12.1,29.52,656.12,18.08,5337.78,1230.6,1589.58,14493.4,73998.04,2026.72,2.34,-6.28,0.76,0.5,0.0,0.5
71,59192213.0,0.5176256294867674,7792931613,80,10.384599678099677,15.08,13.38,27.44,371.78,17.06,3798.78,1001.26,1237.34,5496.24,51337.46,3736.0,3.86,4.36,8.32,0.54,0.0,0.64
72,132892489.0,0.5332527206771464,7792931613,80,9.500137855608445,15.18,14.9,28.24,354.18,8.12,4054.62,990.76,1324.0,6955.56,49695.74,2248.0,1.42,4.18,8.28,0.58,0.02,0.6086956521739131
73,219509487.0,0.5257142857142857,7792931613,80,10.941993284493282,12.22,15.42,35.68,232.74,9.14,3435.98,836.26,1155.08,3451.54,45448.72,6435.64,1.06,-2.08,1.64,0.54,0.06,0.45454545454545453
74,415683691.0,0.5163088356729976,7792931405,80,9.315191197691199,19.12,12.2,21.1,697.14,24.3,3743.54,1305.16,1714.3,10842.04,60693.94,352.18,4.82,6.74,4.4,0.6,0.02,0.6785714285714286
75,1229689323.0,0.5215258855585831,7792931405,80,7.938329281829282,13.7,13.4,25.94,448.28,20.66,3792.36,1038.76,1365.1,5749.26,45467.34,840.26,1.74,-3.66,6.24,0.42,0.08,0.39285714285714285
76,896911873.0,0.5337979094076655,7792931405,80,6.4946741664767975,8.26,18.02,34.78,161.76,4.2,4488.66,722.96,1008.0,2088.84,29625.88,12047.54,4.3,-4.28,33.04,0.58,0.14,0.6923076923076923
77,1236678602.0,0.5685714285714286,7792931405,80,9.047594988344988,16.26,15.86,30.82,320.84,9.6,3865.24,1022.46,1344.28,7713.3,43876.4,2151.82,2.68,11.08,3.28,0.66,0.04,0.6538461538461539
78,131186242.0,0.5235656808443934,7792931405,80,8.398367521367522,15.6,13.34,21.0,531.92,19.04,3795.86,1152.5200000000002,1487.04,10074.3,43689.08,2243.38,4.34,-4.4,7.48,0.5,0.0,0.47619047619047616
79,383889877.0,0.5096665055582407,7792931405,80,12.753221500721502,12.68,11.46,30.8,308.6,12.42,4478.76,870.02,1191.72,4059.4,47874.78,2964.6,1.68,10.8,28.0,0.62,0.02,0.6923076923076923
80,180387657.0,0.532319391634981,7792931405,80,13.767397047397049,21.28,11.96,32.66,533.04,18.54,5505.04,1139.64,1454.36,5620.86,72104.66,876.4,2.6,8.44,8.2,0.6,0.0,0.6538461538461539
81,185802995.0,0.5041751012145749,7792931405,80,8.781905326699444,14.66,16.56,31.68,356.54,11.96,4483.5,952.92,1353.3,3468.06,47481.14,1551.94,2.36,1.68,1.32,0.54,0.0,0.4444444444444444
82,130922130.0,0.5344872803566746,7792931405,80,5.184541731144673,10.48,19.92,27.5,188.38,5.18,3182.86,744.42,1014.0,3184.54,36529.72,1211.26,1.34,-17.54,2.66,0.5,0.0,0.4166666666666667
83,1087272203.0,0.5230460921843687,7792930405,65,9.57274408924409,18.04,13.1,27.06,441.24,17.1,4755.92,1043.42,1403.32,6259.5,56622.4,2216.54,1.52,1.18,4.04,0.52,0.0,0.56
84,1151916842.0,0.5001590836780146,7792930405,71,10.098324552898083,15.54,15.22,28.1,397.1,15.72,3593.64,1026.38,1341.88,7185.06,55236.22,4029.22,1.46,-10.14,5.9,0.56,0.0,0.6086956521739131
85,362954052.0,0.5332801913112794,7792930405,71,9.505851183130597,16.28,15.72,35.34,318.48,17.2,4318.1,974.78,1308.9,4637.94,49455.86,4041.04,0.68,3.18,4.28,0.58,0.0,0.4666666666666667
86,296524114.0,0.505446293494705,7792930405,73,7.614116070204305,6.06,16.78,35.6,92.9,6.8,3554.06,646.66,1021.14,4432.04,20062.9,32096.42,2.26,-6.76,7.38,0.5,0.04,0.3157894736842105
87,391230468.0,0.5179293258573477,7792930405,65,8.57373088023088,16.02,13.3,22.5,555.88,13.04,4646.72,1154.9,1506.4,12002.72,56806.96,1221.62,2.6,-16.32,8.1,0.52,0.02,0.5666666666666667
88,442487658.0,0.5104534746760895,7792930405,75,6.814561614855733,11.42,16.78,31.88,267.52,15.14,4177.36,850.22,1153.84,4039.36,46539.06,2290.76,1.24,-8.1,20.36,0.52,0.0,0.5357142857142857
89,436864671.0,0.5351170568561873,7792930405,72,11.383105339105342,17.74,13.62,31.98,353.4,21.98,4788.5,1005.86,1348.96,7153.18,53209.58,1700.0,1.28,-0.5199999999999997,4.2,0.54,0.24,0.6
90,433129994.0,0.5315934065934066,7792930405,73,6.027174818645407,17.32,19.0,28.78,400.2,11.9,3660.72,1014.36,1366.1,10156.36,58462.1,1842.94,1.96,-8.82,1.68,0.54,0.02,0.56
91,139378899.0,0.5645645645645646,7792947816,80,11.658097125097123,20.06,12.92,26.1,537.66,17.86,4687.98,1248.4,1522.26,14050.6,65515.58,150.06,3.24,6.52,3.4,0.58,0.0,0.6538461538461539
92,246795785.0,0.5526729559748428,7792947816,80,7.915415884768826,11.66,13.82,25.2,341.24,9.54,3563.04,913.46,1215.74,6212.44,38795.6,5637.54,1.32,-5.72,17.58,0.52,0.02,0.4482758620689655
93,347779270.0,0.5113390928725702,7792947816,80,7.703151182151182,13.14,15.8,32.06,297.52,6.64,3711.8,921.82,1161.14,7618.22,48591.26,3355.32,1.24,-13.22,6.58,0.46,0.04,0.52
94,216373891.0,0.5265241488519399,7792947816,80,7.996407021341231,11.78,8.72,22.66,259.52,9.98,3262.06,713.78,944.52,5468.06,38737.48,1494.5,4.72,11.4,5.14,0.66,0.0,0.7241379310344828
95,141511573.0,0.520460358056266,7792947816,80,8.767377350719457,14.88,14.5,30.18,326.38,13.74,4048.48,909.6,1108.02,5184.22,43683.98,5131.12,1.38,6.68,14.3,0.58,0.0,0.6071428571428571
96,127737687.0,0.5226239445767482,7792947816,75,8.794437617937618,15.92,17.22,41.46,438.42,16.92,3960.96,1072.92,1338.24,4531.36,63929.98,5155.42,3.88,-1.78,2.64,0.6,0.0,0.5
97,140007892.0,0.5026062550120288,7792947816,80,7.169303391053392,10.56,16.3,33.26,265.58,9.7,3102.04,832.74,1070.6,4151.3,39556.14,2030.32,2.4,-0.72,3.72,0.52,0.02,0.5333333333333333
98,173604500.0,0.5085374907201188,7792947816,80,11.310382062382065,11.52,10.98,29.5,399.38,13.5,5245.06,986.62,1214.14,11119.68,42603.98,7158.48,4.26,6.32,2.36,0.54,0.0,0.5238095238095238
99,,0.5,7792949311,81,8.609515753309871,14.873333333333335,14.295555555555556,26.475555555555555,1003.5333333333333,1289.4355555555555,3825.0533333333337,396.4244444444444,13.926666666666668,6603.251111111112,49613.35555555555,1829.6266666666666,3.0133333333333336,2.6377777777777776,9.639999999999999,0.5,0.0,0.5
100,,0.5,7792949103,74,8.361940962167086,16.64,15.09,24.6475,1058.2425,1399.9674999999997,3658.3849999999998,441.4425,15.1675,7765.8375,53578.645000000004,1040.0125,1.915,-3.049999999999999,4.375,0.5,0.0,0.5
101,,0.5,7792949103,74,8.361940962167086,16.64,15.09,24.6475,1058.2425,1399.9674999999997,3658.3849999999998,441.4425,15.1675,7765.8375,53578.645000000004,1040.0125,1.915,-3.049999999999999,4.375,0.5,0.0,0.5
102,,0.5,7792947911,71,8.113572480967605,12.919999999999998,15.665,30.115000000000002,873.135,1155.685,3748.5225,287.0725,12.98,5248.2225,42452.605,2930.3900000000003,1.9525000000000001,-1.2324999999999993,12.3125,0.5,0.0,0.5
103,,0.5,7792947911,71,8.113572480967605,12.919999999999998,15.665,30.115000000000002,873.135,1155.685,3748.5225,287.0725,12.98,5248.2225,42452.605,2930.3900000000003,1.9525000000000001,-1.2324999999999993,12.3125,0.5,0.0,0.5
104,,0.5,7792945115,73,8.97226463745233,15.439999999999998,14.8925,29.93,964.005,1268.9625,4301.74,367.26,16.2675,7355.3825,51077.162500000006,2142.3975,2.4275,3.1999999999999993,12.17,0.5,0.0,0.5
105,,0.5,7792945115,73,8.97226463745233,15.439999999999998,14.8925,29.93,964.005,1268.9625,4301.74,367.26,16.2675,7355.3825,51077.162500000006,2142.3975,2.4275,3.1999999999999993,12.17,0.5,0.0,0.5
106,,0.5,7792942701,81,9.381126420202175,12.8125,13.74,27.305,1005.5699999999999,1266.6499999999999,3674.6975,397.3375,13.25,7374.355,47799.9475,1905.145,1.8,-3.2675,8.1525,0.5,0.0,0.5
107,,0.5,7792942701,81,9.381126420202175,12.8125,13.74,27.305,1005.5699999999999,1266.6499999999999,3674.6975,397.3375,13.25,7374.355,47799.9475,1905.145,1.8,-3.2675,8.1525,0.5,0.0,0.5
108,,0.5,7792938217,75,8.487018744112785,13.915,14.845,28.8,946.915,1255.1075,3449.6175000000003,348.2025,11.23,5650.165,47593.5075,2782.0825,2.545,-1.1324999999999998,8.64,0.5,0.0,0.5
109,,0.5,7792938217,75,8.487018744112785,13.915,14.845,28.8,946.915,1255.1075,3449.6175000000003,348.2025,11.23,5650.165,47593.5075,2782.0825,2.545,-1.1324999999999998,8.64,0.5,0.0,0.5
110,,0.5,7792934504,72,8.584142015687938,12.88888888888889,14.471111111111112,27.175555555555558,901.7088888888889,1199.851111111111,3381.7333333333336,340.7266666666667,11.54888888888889,6305.713333333334,45082.24222222222,3242.702222222222,2.3644444444444446,-4.488888888888889,9.846666666666668,0.5,0.0,0.5
111,,0.5,7792933502,71,8.958190652431075,15.21,14.919999999999998,31.527500000000003,952.0425,1284.2775000000001,4766.7475,349.92,14.5425,7454.8125,51042.775,3358.6000000000004,1.9649999999999999,-0.9125000000000002,9.3975,0.5,0.0,0.5
112,,0.5,7792933502,71,8.958190652431075,15.21,14.919999999999998,31.527500000000003,952.0425,1284.2775000000001,4766.7475,349.92,14.5425,7454.8125,51042.775,3358.6000000000004,1.9649999999999999,-0.9125000000000002,9.3975,0.5,0.0,0.5
113,,0.5,7792931613,81,9.996752457305766,14.265,14.535,30.345,988.73,1296.885,4047.3775,378.625,13.6425,6286.295,51228.09,2871.565,2.2,2.3325,9.1,0.5,0.0,0.5
114,,0.5,7792931613,81,9.996752457305766,14.265,14.535,30.345,988.73,1296.885,4047.3775,378.625,13.6425,6286.295,51228.09,2871.565,2.2,2.3325,9.1,0.5,0.0,0.5
115,,0.5,7792931405,81,9.075691417963606,14.67111111111111,14.746666666666666,28.47555555555555,994.3177777777778,1325.7888888888888,4148.424444444445,394.05555555555554,13.988888888888889,5866.733333333334,47482.54888888888,2693.2644444444445,2.8733333333333335,0.9844444444444443,10.513333333333334,0.5,0.0,0.5
116,,0.5,7792930405,72,8.698701068539306,14.8025,15.440000000000001,30.155,964.5725,1306.3174999999999,4186.8775,353.34000000000003,14.86,6983.27,49549.384999999995,6179.8175,1.625,-5.7875000000000005,6.992500000000001,0.5,0.0,0.5
117,,0.5,7792930405,72,8.698701068539306,14.8025,15.440000000000001,30.155,964.5725,1306.3174999999999,4186.8775,353.34000000000003,14.86,6983.27,49549.384999999995,6179.8175,1.625,-5.7875000000000005,6.992500000000001,0.5,0.0,0.5
118,,0.5,7792949311,81,8.609515753309871,14.873333333333335,14.295555555555556,26.475555555555555,1003.5333333333333,1289.4355555555555,3825.0533333333337,396.4244444444444,13.926666666666668,6603.251111111112,49613.35555555555,1829.6266666666666,3.0133333333333336,2.6377777777777776,9.639999999999999,0.5,0.0,0.5
