match_id,player_slot,account_id,assists,camps_stacked,damage_taken,deaths,denies,gold_perm_min,hero_damage,hero_healing,hero_id,kills,team_slot,last_hits,leaver_status,rune_pickups,obs_placed,sen_placed,tower_damaged,xp_per_min,isRadiant,total_gold,kda,rank_tier,matchId,position
7794545711,4,294337381.0,3,,,8,2,,16146,0,120,5,4,150,0,,,,,525,1,12081,0.89,80.0,7794545711,5
7794545711,128,,23,,,4,3,,9289,14852,83,5,0,17,0,,,,,483,0,10198,5.6,,7794545711,1
7794545711,129,457055550.0,16,,,1,16,,13540,0,60,11,1,138,0,,,,,624,0,15402,13.5,80.0,7794545711,2
7794545711,130,479496815.0,10,,,2,6,,10825,0,12,4,2,201,0,,,,,699,0,15820,4.67,80.0,7794545711,3
7794545711,131,437548902.0,16,,,7,2,,10646,0,26,6,3,60,0,,,,,490,0,11296,2.75,80.0,7794545711,4
7794557204,0,177218502.0,4,,,3,1,,3228,0,6,0,0,31,0,,,,,161,1,3904,1.0,75.0,7794557204,1
7794557204,1,,2,,,7,11,,12460,0,35,4,1,31,0,,,,,310,1,5384,0.75,,7794557204,2
7794557204,2,1057327725.0,0,,,3,0,,0,0,16,0,2,151,0,,,,,299,1,5116,0.0,75.0,7794557204,3
7794557204,3,895208859.0,2,,,11,2,,2666,0,32,2,3,37,0,,,,,293,1,5219,0.33,74.0,7794557204,4
7794557204,4,422782288.0,2,,,8,1,,11167,0,106,1,4,77,0,,,,,356,1,6596,0.33,75.0,7794557204,5
7794557204,128,53575999.0,8,,,1,1,,9170,0,55,7,0,185,0,,,,,651,0,13789,7.5,74.0,7794557204,1
7794557204,130,97023433.0,14,,,4,1,,7425,0,88,2,2,36,0,,,,,422,0,7213,3.2,75.0,7794557204,3
7794557204,131,239866407.0,17,,,2,2,,10771,2737,30,7,3,61,0,,,,,474,0,9453,8.0,74.0,7794557204,4
7794557204,132,86847768.0,7,,,0,7,,16107,4489,36,11,4,158,0,,,,,636,0,13254,18.0,74.0,7794557204,5
